PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1003.0,115,18.8,17.1,90,12.38,0,0,291.7,326.9,293.9
1000.0,142,18.6,16.5,88,11.94,0,0,291.8,325.7,293.8
954.0,545,16.2,12.2,77,9.44,103,1,293.3,320.5,294.9
937.0,698,17.2,11.2,68,8.99,142,2,295.8,322.0,297.4
925.0,808,17.0,11.0,68,8.98,170,2,296.7,323.0,298.3
851.0,1518,14.8,4.8,51,6.37,66,4,301.5,320.9,302.7
850.0,1528,15.0,5.0,51,6.47,65,4,301.9,321.5,303.0
847.0,1558,15.4,5.4,51,6.68,67,4,302.6,322.9,303.8
834.0,1689,17.2,-2.8,25,3.75,76,4,305.8,317.7,306.5
807.0,1969,15.2,4.2,48,6.45,96,4,306.6,326.5,307.8
778.0,2278,13.2,2.2,47,5.80,117,4,307.6,325.7,308.7
774.0,2321,13.2,3.2,51,6.26,120,4,308.1,327.6,309.3
766.0,2409,13.6,-5.4,26,3.35,127,3,309.4,320.3,310.1
748.0,2608,11.4,4.4,62,7.06,141,3,309.2,331.1,310.5
736.0,2743,10.4,3.4,62,6.68,150,3,309.5,330.4,310.8
700.0,3160,8.6,1.6,61,6.18,180,3,312.0,331.5,313.1
652.0,3746,6.4,-2.6,53,4.87,166,4,315.9,331.7,316.8
642.0,3873,6.4,-5.6,42,3.94,163,4,317.3,330.3,318.0
628.0,4054,7.8,-16.2,16,1.73,159,4,320.9,326.9,321.2
595.0,4496,5.2,-16.8,19,1.73,149,4,322.9,329.0,323.2
573.0,4803,3.2,-6.8,48,4.03,141,5,324.0,337.6,324.8
525.0,5505,-2.7,-8.7,63,3.80,124,6,325.1,338.0,325.9
500.0,5890,-4.9,-20.9,27,1.45,115,6,327.0,332.2,327.3
497.0,5937,-5.1,-30.1,12,0.63,116,6,327.3,329.7,327.4
471.0,6356,-8.3,-15.3,57,2.48,128,5,328.4,337.2,328.9
456.0,6605,-10.7,-16.7,61,2.28,136,5,328.5,336.5,328.9
430.0,7053,-13.3,-21.3,51,1.63,149,4,330.7,336.6,331.0
403.0,7544,-15.1,-54.1,2,0.06,163,3,334.6,334.8,334.6
400.0,7600,-15.5,-60.5,1,0.03,165,3,334.8,334.9,334.8
393.0,7733,-16.1,-61.1,1,0.03,165,4,335.7,335.8,335.7
390.0,7790,-16.6,-61.4,1,0.03,165,5,335.8,335.9,335.8
314.0,9385,-29.3,-69.3,1,0.01,70,9,339.5,339.6,339.5
300.0,9710,-31.7,-42.7,33,0.30,50,10,340.6,341.8,340.6
296.0,9805,-32.5,-40.5,45,0.38,47,10,340.8,342.3,340.8
291.0,9924,-33.7,-40.7,49,0.38,43,11,340.7,342.2,340.8
250.0,10970,-41.9,-51.9,33,0.13,10,16,343.6,344.2,343.7
200.0,12440,-54.5,-68.5,16,0.02,350,24,346.3,346.4,346.3
199.0,12472,-54.8,-69.1,15,0.02,350,24,346.4,346.5,346.4
197.0,12537,-55.3,-70.3,14,0.01,348,24,346.5,346.6,346.5
165.0,13638,-63.1,-83.3,5,0.00,320,16,351.5,351.5,351.5
150.0,14230,-67.3,-90.3,3,0.00,30,15,354.0,354.0,354.0
138.0,14728,-71.5,-95.5,2,0.00,33,27,355.1,355.1,355.1
131.0,15031,-72.7,-97.0,2,0.00,35,34,358.3,358.3,358.3
101.0,16543,-78.5,-104.5,1,0.00,21,32,374.7,374.7,374.7
100.0,16600,-78.5,-104.5,1,0.00,20,32,375.8,375.8,375.8
70.0,18650,-74.9,-101.9,1,0.00,100,13,423.8,423.8,423.8
50.0,20640,-67.1,-96.1,1,0.00,105,44,484.9,484.9,484.9
30.0,23790,-59.9,-90.9,1,0.00,105,37,580.8,580.8,580.8
20.0,26350,-54.9,-86.9,1,0.01,115,29,667.4,667.5,667.4
